Position,Bib,TempsEtape,Etape
1,21,2:27:41,1
2,101,2:27:58,1
3,13,2:27:58,1
4,72,2:28:20,1
5,12,2:28:20,1
6,45,2:28:20,1
7,22,2:28:20,1
8,11,2:28:20,1
9,132,2:28:20,1
10,25,2:28:20,1
11,64,2:28:20,1
12,74,2:28:20,1
13,65,2:28:20,1
14,161,2:28:20,1
15,154,2:28:20,1
16,71,2:28:20,1
17,62,2:28:20,1
18,14,2:28:20,1
19,23,2:28:20,1
20,76,2:28:20,1
21,26,2:28:20,1
22,35,2:28:20,1
23,135,2:28:20,1
24,15,2:28:20,1
25,143,2:28:20,1
26,93,2:28:20,1
27,24,2:28:20,1
28,164,2:28:20,1
29,73,2:28:20,1
30,111,2:28:20,1
31,141,2:28:20,1
32,41,2:28:20,1
33,103,2:28:20,1
34,146,2:28:20,1
35,145,2:28:20,1
36,112,2:28:29,1
37,144,2:28:29,1
38,142,2:28:31,1
39,115,2:28:34,1
40,123,2:28:39,1
41,85,2:28:39,1
42,63,2:28:20,1
43,91,2:28:20,1
44,151,2:28:48,1
45,31,2:28:50,1
46,113,2:28:53,1
47,84,2:28:20,1
48,131,2:29:07,1
49,153,2:29:07,1
50,94,2:29:10,1
51,82,2:29:10,1
52,114,2:29:15,1
53,134,2:29:21,1
54,51,2:29:34,1
55,34,2:29:39,1
56,152,2:29:39,1
57,155,2:29:39,1
58,102,2:29:39,1
59,122,2:29:42,1
60,163,2:29:44,1
61,121,2:29:44,1
62,165,2:30:15,1
63,42,2:30:28,1
64,116,2:30:28,1
65,75,2:30:59,1
66,81,2:31:10,1
67,53,2:31:10,1
68,54,2:31:42,1
69,66,2:28:20,1
70,95,2:28:20,1
71,36,2:28:20,1
72,133,2:28:20,1
73,162,2:32:31,1
74,124,2:32:38,1
75,32,2:33:21,1
76,33,2:33:21,1
77,16,2:33:21,1
78,86,2:33:21,1
79,44,2:33:21,1
80,96,2:34:32,1
81,92,2:34:32,1
82,83,2:28:20,1
83,43,2:36:07,1
84,52,2:36:12,1
85,125,2:36:17,1
86,104,2:37:43,1
87,105,2:57:10,1
88,61,2:28:20,1
1,154,2:10:57,2
2,33,2:11:00,2
3,11,2:11:02,2
4,13,2:11:02,2
5,21,2:11:02,2
6,36,2:11:02,2
7,22,2:11:02,2
8,16,2:11:02,2
9,113,2:11:02,2
10,132,2:11:02,2
11,35,2:11:02,2
12,101,2:11:02,2
13,74,2:11:02,2
14,112,2:11:02,2
15,64,2:11:02,2
16,31,2:11:02,2
17,104,2:11:02,2
18,41,2:11:02,2
19,133,2:11:02,2
20,145,2:11:02,2
21,45,2:11:02,2
22,103,2:11:02,2
23,63,2:11:02,2
24,95,2:11:02,2
25,12,2:11:02,2
26,26,2:11:02,2
27,102,2:11:02,2
28,23,2:11:02,2
29,161,2:11:02,2
30,65,2:11:02,2
31,62,2:11:02,2
32,135,2:11:02,2
33,25,2:11:02,2
34,66,2:11:02,2
35,165,2:11:02,2
36,146,2:11:02,2
37,111,2:11:02,2
38,164,2:11:02,2
39,91,2:11:02,2
40,61,2:11:02,2
41,105,2:11:02,2
42,151,2:11:02,2
43,71,2:11:02,2
44,93,2:11:02,2
45,15,2:11:02,2
46,114,2:11:02,2
47,123,2:11:02,2
48,82,2:11:02,2
49,24,2:11:02,2
50,141,2:11:02,2
51,143,2:11:02,2
52,73,2:11:02,2
53,125,2:11:02,2
54,75,2:11:02,2
55,115,2:11:02,2
56,134,2:11:16,2
57,153,2:11:16,2
58,144,2:11:16,2
59,53,2:11:02,2
60,131,2:11:29,2
61,76,2:11:02,2
62,14,2:11:02,2
63,43,2:12:04,2
64,84,2:11:02,2
65,155,2:12:07,2
66,96,2:12:07,2
67,34,2:12:07,2
68,94,2:12:07,2
69,142,2:12:12,2
70,85,2:12:13,2
71,81,2:12:13,2
72,122,2:12:13,2
73,162,2:12:13,2
74,51,2:12:13,2
75,44,2:12:18,2
76,92,2:12:18,2
77,121,2:12:18,2
78,32,2:12:29,2
79,163,2:12:29,2
80,42,2:12:29,2
81,52,2:12:29,2
82,124,2:12:29,2
83,116,2:12:49,2
84,83,2:13:39,2
85,86,2:13:39,2
86,54,2:14:05,2
87,152,2:15:17,2
1,21,0:10:34.260,3
2,154,0:10:57.190,3
3,13,0:11:02.360,3
4,11,0:11:02.470,3
5,36,0:11:03.860,3
6,101,0:11:07.140,3
7,25,0:11:10.290,3
8,23,0:11:11.780,3
9,31,0:11:16.900,3
10,14,0:11:17.900,3
11,15,0:11:18.410,3
12,12,0:11:18.820,3
13,71,0:11:20.280,3
14,33,0:11:20.770,3
15,103,0:11:26.430,3
16,76,0:11:29.720,3
17,45,0:11:30.850,3
18,65,0:11:31.750,3
19,63,0:11:33.410,3
20,133,0:11:40.890,3
21,113,0:11:41.660,3
22,132,0:11:41.760,3
23,24,0:11:42.410,3
24,34,0:11:44.130,3
25,111,0:11:45.320,3
26,73,0:11:45.870,3
27,62,0:11:46.000,3
28,84,0:11:46.720,3
29,26,0:11:46.940,3
30,74,0:11:46.970,3
31,96,0:11:49.180,3
32,22,0:11:49.600,3
33,135,0:11:50.750,3
34,35,0:11:50.940,3
35,64,0:11:51.580,3
36,102,0:11:53.530,3
37,123,0:11:54.540,3
38,144,0:11:54.590,3
39,142,0:11:55.390,3
40,115,0:11:55.470,3
41,112,0:11:57.080,3
42,32,0:11:58.990,3
43,83,0:12:00.840,3
44,75,0:12:01.130,3
45,141,0:12:02.020,3
46,66,0:12:02.230,3
47,164,0:12:03.940,3
48,145,0:12:05.360,3
49,114,0:12:07.410,3
50,85,0:12:07.560,3
51,125,0:12:07.760,3
52,165,0:12:08.990,3
53,116,0:12:12.130,3
54,151,0:12:12.920,3
55,146,0:12:15.090,3
56,61,0:12:18.970,3
57,86,0:12:19.020,3
58,105,0:12:20.360,3
59,94,0:12:20.580,3
60,16,0:12:20.720,3
61,41,0:12:20.890,3
62,95,0:12:23.530,3
63,122,0:12:24.550,3
64,153,0:12:25.130,3
65,53,0:12:28.000,3
66,143,0:12:28.370,3
67,91,0:12:29.620,3
68,155,0:12:30.520,3
69,93,0:12:31.160,3
70,124,0:12:34.450,3
71,82,0:12:36.170,3
72,92,0:12:36.290,3
73,163,0:12:38.430,3
74,162,0:12:40.780,3
75,161,0:12:41.450,3
76,121,0:12:44.760,3
77,52,0:12:44.960,3
78,42,0:12:47.690,3
79,104,0:12:50.030,3
80,51,0:12:51.770,3
81,43,0:12:52.300,3
82,81,0:12:57.190,3
83,134,0:12:57.770,3
84,131,0:13:02.600,3
85,152,0:13:15.310,3
86,44,0:13:23.620,3
87,54,0:13:24.370,3
