Position,Bib,Points,ApresEtape
1,21,32,1
2,13,26,1
3,101,24,1
4,72,16,1
5,12,12,1
6,45,10,1
7,22,8,1
8,154,6,1
9,11,6,1
10,36,4,1
11,25,4,1
12,132,4,1
13,16,4,1
1,13,46,2
2,21,44,2
3,154,42,2
4,11,26,2
5,33,26,2
6,101,24,2
7,22,16,2
8,45,14,2
9,36,14,2
10,12,12,2
11,16,10,2
12,65,6,2
13,132,6,2
14,25,4,2
15,113,4,2
16,41,2,2
1,21,59,3
2,13,56,3
3,154,54,3
4,11,34,3
5,101,29,3
6,33,26,3
7,36,20,3
8,22,16,3
9,45,14,3
10,12,12,3
11,16,10,3
12,25,8,3
13,65,6,3
14,132,6,3
15,113,4,3
16,23,3,3
17,31,2,3
18,41,2,3
19,14,1,3
1,21,69,4
2,13,56,4
3,154,54,4
4,11,34,4
5,16,34,4
6,41,32,4
7,45,30,4
8,101,29,4
9,33,26,4
10,36,24,4
11,71,20,4
12,22,16,4
13,31,14,4
14,12,12,4
15,25,8,4
16,64,8,4
17,65,6,4
18,132,6,4
19,102,6,4
20,113,4,4
21,23,3,4
22,61,2,4
23,14,1,4
