Type,Notes,Distance (km) From Start,Elevation (m),Description,Edited
Start,Start of route,0,0,,
Danger,sign_01,2.11,281.90,,Edited
Danger,sign_02,7.94,288.70,,Edited
Danger,sign_03,24.67,315.90,,Edited
Danger,sign_04,33.32,349.30,,Edited
Generic,sign_05,44.26,322.00,,Edited
Generic,sign_07,48.04,321.80,,Edited
Generic,sign_08,48.40,321.90,,Edited
Generic,sign_09,61.34,304.50,,Edited
Generic,sign_10,61.60,303.00,,Edited
Generic,sign_11,70.52,308.70,,Edited
Generic,sign_12,71.19,309.60,,Edited
Generic,sign_13,76.39,325.20,,Edited
Generic,sign_14,77.16,317.10,,Edited
Generic,sign_15,77.53,319.40,,Edited
Generic,sign_16,77.57,319.00,,Edited
Generic,sign_17,77.67,319.00,,Edited
Generic,sign_18,77.76,318.20,,Edited
Generic,sign_19,77.79,317.60,,Edited
Generic,sign_20,77.87,317.60,,Edited
Generic,sign_22,81.69,308.00,,Edited
Generic,sign_23,97.10,293.10,,Edited
Generic,sign_24,100.23,302.00,,Edited
Control,Arrivée finale,118.57,310.60,,Edited
End,End of route,118.58,310.60,
